Index,Unnamed: 0,Geography,state,county,tract,GEOID,Total_Households,Total_Population,Median_Household_Income,Uninsured_Rate,Limited_English_Proficiency_Rate,No_Vehicle_Rate,No_Internet_Rate,Rent_as_Income_Percentage,latitude,longitude,Common State County FIPS Code,HPSA Designation Date,HPSA Score,HPSA Status Code
0,0,"Census Tract 1, Jefferson County, Alabama",01,073,000100,01073000100,1034,2546,33375,2.61,97.8,10.44,7.74,48.1,33.57945486072976,-86.72275289,01073,9/6/24,3,D
1,1,"Census Tract 3, Jefferson County, Alabama",01,073,000300,01073000300,530,1398,22419,1.48,90.77,1.51,35.85,51,33.542668162800084,-86.75254376,01073,9/6/24,3,D
2,2,"Census Tract 4, Jefferson County, Alabama",01,073,000400,01073000400,934,3161,30833,2.81,90.98,0.96,26.23,38.2,33.563244792476354,-86.76406433,01073,9/6/24,3,D
3,3,"Census Tract 5, Jefferson County, Alabama",01,073,000500,01073000500,1328,3146,16277,0,85.73,5.65,38.93,43.2,33.544547723447124,-86.77490347,01073,9/6/24,3,D
4,4,"Census Tract 7, Jefferson County, Alabama",01,073,000700,01073000700,852,2096,16864,0,89.31,1.41,39.08,51,33.552445691873814,-86.80190077,01073,9/6/24,3,D
5,5,"Census Tract 8, Jefferson County, Alabama",01,073,000800,01073000800,1436,3124,26643,0,96.83,3.06,44.85,41.9,33.549380607828724,-86.83607824,01073,9/6/24,3,D
6,6,"Census Tract 11, Jefferson County, Alabama",01,073,001100,01073001100,1840,5489,49242,0.57,94.17,2.93,10.98,28.1,33.54264469861542,-86.87995095,01073,9/6/24,3,D
7,7,"Census Tract 12, Jefferson County, Alabama",01,073,001200,01073001200,1241,2471,36397,0,98.46,6.93,33.68,26.7,33.527876805438446,-86.86038221,01073,9/6/24,3,D
8,8,"Census Tract 14, Jefferson County, Alabama",01,073,001400,01073001400,842,1913,36455,0,96.5,6.41,29.22,27.6,33.52611477498275,-86.83527654,01073,9/6/24,3,D
9,9,"Census Tract 15, Jefferson County, Alabama",01,073,001500,01073001500,1097,2558,27216,0.7,97.5,7.29,36.74,40.9,33.52990949862096,-86.8196751,01073,9/6/24,3,D
10,10,"Census Tract 16, Jefferson County, Alabama",01,073,001600,01073001600,1123,3077,22155,0.49,95.65,9.35,50.04,48.1,33.53735192102922,-86.8035868,01073,9/6/24,3,D
11,11,"Census Tract 19.02, Jefferson County, Alabama",01,073,001902,01073001902,712,1750,25000,1.03,92.23,0.7,31.88,39.4,33.55317787,-86.7429753,01073,9/6/24,3,D
12,12,"Census Tract 20, Jefferson County, Alabama",01,073,002000,01073002000,1384,3938,21087,1.9,94.01,2.1,37.21,36.3,33.5529444,-86.71533296,01073,9/6/24,3,D
13,13,"Census Tract 21, Jefferson County, Alabama",01,073,002100,01073002100,1097,2339,26394,3.59,93.89,3.19,22.33,33.6,33.56495783752619,-86.710098,01073,9/6/24,3,D
14,14,"Census Tract 22, Jefferson County, Alabama",01,073,002200,01073002200,893,2606,29663,0,94.21,3.7,15.12,49.1,33.55224150021525,-86.7278763,01073,9/6/24,3,D
15,15,"Census Tract 23.03, Jefferson County, Alabama",01,073,002303,01073002303,1094,2941,21667,1.67,80.21,1.01,21.39,33.6,33.53838086780477,-86.72697111,01073,9/6/24,3,D
16,16,"Census Tract 23.05, Jefferson County, Alabama",01,073,002305,01073002305,1294,2988,69777,0.9,91.93,1.08,5.26,27.4,33.53339499454473,-86.74774732,01073,9/6/24,3,D
17,17,"Census Tract 23.06, Jefferson County, Alabama",01,073,002306,01073002306,1836,4091,95294,0.34,96.06,0.38,3.1,24.9,33.52130509892657,-86.74908912,01073,9/6/24,3,D
18,18,"Census Tract 29, Jefferson County, Alabama",01,073,002900,01073002900,882,1709,20203,0,92.69,1.13,42.06,30.7,33.513340107014606,-86.83012744,01073,9/6/24,3,D
19,19,"Census Tract 30.01, Jefferson County, Alabama",01,073,003001,01073003001,798,3487,37266,0.76,95.53,4.01,38.47,45,33.51245660095297,-86.85774567,01073,9/6/24,3,D
20,20,"Census Tract 30.02, Jefferson County, Alabama",01,073,003002,01073003002,1079,2363,29476,2.27,92.3,10.94,30.12,32.1,33.512251127981024,-86.84417344,01073,9/6/24,3,D
21,21,"Census Tract 31, Jefferson County, Alabama",01,073,003100,01073003100,1444,3704,27449,0,96.27,7.06,22.44,41.4,33.505981248708245,-86.87452537,01073,9/6/24,3,D
22,22,"Census Tract 32, Jefferson County, Alabama",01,073,003200,01073003200,472,1002,30121,2.72,87.13,5.3,23.09,29.1,33.509308764404274,-86.88583075,01073,9/6/24,3,D
