GEOID,StateAbbr,PlaceName,ARTHRITIS_CrudePrev,BINGE_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,PAPTEST_CrudePrev
1073000100,AL,Birmingham,31.2,10.3,5.3,13.4,7.8,74.8,78.6,56.8,85.0
1073000300,AL,Birmingham,30.5,10.5,4.7,12.5,8.6,72.1,76.0,53.8,83.8
1073000400,AL,Birmingham,31.5,10.4,5.3,13.3,7.5,76.6,80.2,59.7,84.6
1073000500,AL,Birmingham,35.0,9.1,6.0,13.6,9.6,78.2,80.5,57.9,84.3
1073000700,AL,Birmingham,36.3,7.6,5.9,14.7,11.4,78.1,77.4,53.2,84.5
1073000800,AL,Birmingham,37.5,8.6,6.9,13.4,10.6,79.7,83.0,62.9,84.8
1073001100,AL,Birmingham,32.5,9.9,6.5,12.4,7.3,79.9,85.3,68.8,86.2
1073001200,AL,Birmingham,33.7,10.2,6.5,12.0,8.6,78.4,83.4,64.6,85.4
1073001400,AL,Birmingham,34.5,9.6,7.0,11.9,9.0,79.5,84.7,65.7,85.8
1073001500,AL,Birmingham,33.2,9.8,5.6,13.2,9.2,77.0,80.2,56.8,84.4
1073001600,AL,Birmingham,36.5,9.0,6.7,13.7,10.1,77.9,81.8,59.3,84.1
1073001902,AL,Birmingham,33.1,9.7,5.2,13.8,8.7,76.3,79.1,56.5,84.3
1073002000,AL,Birmingham,35.0,9.2,6.0,13.9,9.0,76.0,79.9,56.7,84.0
1073002100,AL,Birmingham,31.2,10.6,5.6,13.1,7.3,75.7,80.5,59.9,85.5
1073002200,AL,Birmingham,30.9,10.5,5.3,13.1,7.1,77.3,80.9,62.0,84.8
1073002303,AL,Birmingham,31.6,9.3,5.0,14.3,8.2,76.1,77.2,56.9,84.8
1073002305,AL,Birmingham,22.3,16.5,5.1,10.1,4.0,68.6,81.3,71.4,86.7
