Geography,state,county,tract,GEOID,Total_Households,Total_Population,Median_Household_Income,Uninsured_Rate,Limited_English_Proficiency,No_Vehicle_Rate,No_Internet_Rate,Rent_as_Income_Percentage,latitude,longitude
"Census Tract 1, Jefferson County, Alabama",01,073,000100,01073000100,1034,2546,33375,2.605989887203423,2490,10.444874274661508,7.7369439071566735,48.1,33.57945486072976,-86.72275288744898
"Census Tract 3, Jefferson County, Alabama",01,073,000300,01073000300,530,1398,22419,1.4799154334038054,1269,1.509433962264151,35.84905660377358,51.0,33.542668162800084,-86.75254376015934
"Census Tract 4, Jefferson County, Alabama",01,073,000400,01073000400,934,3161,30833,2.8069093152375078,2876,0.9635974304068522,26.231263383297645,38.2,33.563244792476354,-86.76406432817043
"Census Tract 5, Jefferson County, Alabama",01,073,000500,01073000500,1328,3146,16277,0.0,2697,5.647590361445784,38.93072289156627,43.2,33.544547723447124,-86.77490346500404
"Census Tract 7, Jefferson County, Alabama",01,073,000700,01073000700,852,2096,16864,0.0,1872,1.4084507042253522,39.08450704225352,51.0,33.552445691873814,-86.8019007663277
"Census Tract 8, Jefferson County, Alabama",01,073,000800,01073000800,1436,3124,26643,0.0,3025,3.064066852367688,44.84679665738162,41.9,33.549380607828724,-86.83607823710187
"Census Tract 11, Jefferson County, Alabama",01,073,001100,01073001100,1840,5489,49242,0.5715339233038348,5169,2.9347826086956523,10.978260869565219,28.1,33.54264469861542,-86.8799509479521
"Census Tract 12, Jefferson County, Alabama",01,073,001200,01073001200,1241,2471,36397,0.0,2433,6.929895245769541,33.68251410153103,26.7,33.527876805438446,-86.86038220782305
"Census Tract 14, Jefferson County, Alabama",01,073,001400,01073001400,842,1913,36455,0.0,1846,6.413301662707839,29.216152019002372,27.6,33.52611477498275,-86.83527654087248
"Census Tract 15, Jefferson County, Alabama",01,073,001500,01073001500,1097,2558,27216,0.6987577639751553,2494,7.292616226071102,36.73655423883318,40.9,33.52990949862096,-86.81967510094584
"Census Tract 16, Jefferson County, Alabama",01,073,001600,01073001600,1123,3077,22155,0.4872563718140929,2943,9.349955476402494,50.044523597506675,48.1,33.53735192102922,-86.80358680453556
"Census Tract 19.02, Jefferson County, Alabama",01,073,001902,01073001902,712,1750,25000,1.0250569476082005,1614,0.7022471910112359,31.88202247191011,39.4,33.5531778663529,-86.74297530067625
